Faculty ID,Official name,Follow-up flags
stacia-e-rodenbusch,Stacia E Rodenbusch,research_source_not_connected
shelly-r-rodriguez,Shelly R Rodriguez,research_source_not_connected
kara-joy-helmke-rogers,Kara Joy Helmke Rogers,profile_url_not_connected; research_source_not_connected
james-jerry-rowan,James Jerry Rowan,profile_url_not_connected; research_source_not_connected
julio-cesar-ruiz,Julio Cesar Ruiz,research_source_not_connected
stephen-thomas-russell,Stephen Thomas Russell,profile_url_not_connected; research_source_not_connected
soroosh-sadeh,Soroosh Sadeh,research_source_not_connected
cynthia-saldivar-fitchpatrick,Cynthia Saldivar fitchpatrick,research_source_not_connected
farhana-sarower,Farhana Sarower,research_source_not_connected
kanagasabapathi-sathasivan,Kanagasabapathi Sathasivan,research_source_not_connected
taylor-jane-schoberle,Taylor Jane Schoberle,research_source_not_connected
william-schwartz,William Schwartz,research_source_not_connected
michael-d-scott,Michael D Scott,profile_url_not_connected; research_source_not_connected
shagufta-hasnain-shabbir,Shagufta Hasnain Shabbir,research_source_not_connected
hovav-shacham,Hovav Shacham,profile_url_not_connected; research_source_not_connected
ruth-i-shear,Ruth I Shear,research_source_not_connected
gennady-shvets,Gennady Shvets,profile_url_not_connected; research_source_not_connected
monica-sianez,Monica Sianez,research_source_not_connected
laura-sisk-hackworth,Laura Sisk-Hackworth,profile_url_not_connected; research_source_not_connected
isaac-smith,Isaac Smith,profile_url_not_connected; research_source_not_connected
arjun-sobnack,Arjun Sobnack,profile_url_not_connected; research_source_not_connected
paola-sotelo,Paola Sotelo,research_source_not_connected
stacy-c-sparks,Stacy C Sparks,profile_url_not_connected; research_source_not_connected
eric-j-staron,Eric J Staron,research_source_not_connected
elizabeth-f-stepp,Elizabeth F Stepp,research_source_not_connected
naomi-stolpner,Naomi Stolpner,research_source_not_connected
andrei-straumanis,Andrei Straumanis,research_source_not_connected
jessica-streu,Jessica Streu,profile_url_not_connected; research_source_not_connected
thomas-struppeck,Thomas Struppeck,profile_url_not_connected; research_source_not_connected
deborah-y-sztejnberg,Deborah Y Sztejnberg,research_source_not_connected
dixin-tang,Dixin Tang,profile_url_not_connected; research_source_not_connected
fatma-tarlaci,Fatma Tarlaci,profile_url_not_connected; research_source_not_connected
richard-a-taylor,Richard A Taylor,research_source_not_connected
kia-teymourian,Kia Teymourian,research_source_not_connected
kevin-tian,Kevin Tian,research_source_not_connected
aida-torabi,Aida Torabi,research_source_not_connected
philip-m-treisman,Philip M Treisman,profile_url_not_connected; research_source_not_connected
alfred-a-tuley,Alfred A Tuley,research_source_not_connected
semahat-serra-ucer-ozgurel,Semahat Serra Ucer Ozgurel,profile_url_not_connected; research_source_not_connected
david-a-vandenbout,David A Vandenbout,profile_url_not_connected; research_source_not_connected
vijaychidambaram-velayudhan-pillai,Vijaychidambaram Velayudhan Pillai,profile_url_not_connected; research_source_not_connected
laura-villafuerte-altuzar,Laura Villafuerte Altuzar,research_source_not_connected
sara-villanueva,Sara Villanueva,profile_url_not_connected; research_source_not_connected
amanda-j-vines,Amanda J Vines,profile_url_not_connected; research_source_not_connected
bindu-viswanathan,Bindu Viswanathan,research_source_not_connected
vincent-roger-viviani,Vincent Roger Viviani,research_source_not_connected
paul-etienne-vouga,Paul Etienne Vouga,profile_url_not_connected; research_source_not_connected
jay-wadekar,Jay Wadekar,profile_url_not_connected; research_source_not_connected
alisa-h-walch,Alisa H Walch,research_source_not_connected
stephen-g-walker,Stephen G Walker,profile_url_not_connected; research_source_not_connected
aurora-d-wallace,Aurora D Wallace,research_source_not_connected
jessica-e-wandelt,Jessica E Wandelt,research_source_not_connected
karen-a-weems,Karen A Weems,profile_url_not_connected; research_source_not_connected
jay-s-whitehead,Jay S Whitehead,research_source_not_connected
thilini-wijesekera,Thilini Wijesekera,research_source_not_connected
shawn-williams,Shawn Williams,research_source_not_connected
hannah-williamson,Hannah Williamson,profile_url_not_connected; research_source_not_connected
sinead-williamson,Sinead Williamson,profile_url_not_connected; research_source_not_connected
becky-wilson,Becky Wilson,profile_url_not_connected; research_source_not_connected
jennifer-l-wilson,Jennifer L Wilson,research_source_not_connected
michael-wilson,Michael Wilson,research_source_not_connected
erica-winterer,Erica Winterer,research_source_not_connected
william-r-wolesensky,William R Wolesensky,research_source_not_connected
josefine-ortiz-wolfe,Josefine Ortiz Wolfe,research_source_not_connected
matthew-worden,Matthew Worden,research_source_not_connected
konrad-wrobel,Konrad Wrobel,profile_url_not_connected; research_source_not_connected
dominic-louis-wynter,Dominic Louis Wynter,profile_url_not_connected; research_source_not_connected
junhong-xu,Junhong Xu,profile_url_not_connected; research_source_not_connected
sujay-yadalam-sudarshan,Sujay Yadalam Sudarshan,profile_url_not_connected; research_source_not_connected
soo-hyun-yang,Soo Hyun Yang,research_source_not_connected
yuan-yao,Yuan Yao,profile_url_not_connected; research_source_not_connected
john-anthony-yeazell,John Anthony Yeazell,research_source_not_connected
rebecca-young,Rebecca Young,profile_url_not_connected; research_source_not_connected
william-d-young,William D Young,research_source_not_connected
chen-yu,Chen Yu,research_source_not_connected
harold-h-zakon,Harold H Zakon,profile_url_not_connected; research_source_not_connected
diana-p-zamora-olivares,Diana P Zamora-Olivares,research_source_not_connected
sherry-zhang,Sherry Zhang,profile_url_not_connected; research_source_not_connected
shuangjie-zhang,Shuangjie Zhang,profile_url_not_connected; research_source_not_connected
bang-zheng,Bang Zheng,profile_url_not_connected; research_source_not_connected
corwin-zigler,Corwin Zigler,profile_url_not_connected; research_source_not_connected
